distro,rolling_release,fixed_release,based_on_debian,based_on_arch,based_on_rhel,independent_base,uses_systemd,uses_apt,uses_pacman,uses_rpm,gnome_default,kde_default,xfce_default,no_default_desktop,lightweight_low_resource,beginner_friendly,security_privacy_focused,gaming_focused,server_enterprise_focused,immutable_filesystem,commercial_backing,gui_installer_friendly,terminal_first_experience,released_before_2010,released_after_2015,uses_sysvinit_or_openrc_or_runit,minimalist_by_design,developer_focused,good_for_old_hardware,suitable_for_servers_no_gui,would_you_compile_your_own_kernel_for_fun,do_you_enjoy_reading_man_pages,do_you_cry_when_updates_break_your_desktop,would_you_survive_without_a_mouse,do_you_own_a_mechanical_keyboard,do_you_have_strong_opinions_about_init_systems,would_you_name_your_pet_after_a_linux_kernel_version,do_you_distro_hop_often,would_you_trust_this_os_on_your_grandmas_laptop,do_you_like_customizing_your_desktop_for_hours,would_you_use_this_to_hack_the_planet,do_you_believe_less_is_more,would_you_recommend_this_to_your_boss,do_you_get_excited_about_new_package_managers,would_this_os_survive_a_zombie_apocalypse_offline,do_you_secretly_want_to_use_arch_btw,would_you_trust_it_to_run_a_nuclear_reactor,do_you_enjoy_breaking_things_and_fixing_them,would_you_install_this_on_a_potato,do_you_want_your_os_to_just_work_and_stay_out_of_the_way,ubuntu_family,made_for_gaming_handhelds,declarative_configuration,privacy_live_session,upstream_of_ubuntu,cinnamon_desktop,pantheon_desktop,windows_like_desktop,centos_stream_model,rocky_enterprise_clone,almalinux_enterprise_clone,ubuntu_xfce_flavor,ubuntu_mate_flavor,mandriva_descendant,feren_kde_desktop,base_family,release_model,primary_package_manager,default_desktop_name,default_init,project_website,data_quality,as_of_date
Ubuntu,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,,0,0,1,0,1,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,debian,fixed,apt,GNOME,systemd,https://ubuntu.com/,curated; subjective columns intentionally blank,2026-09-16
openSUSE Slowroll,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,,0,0,0,0,0,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,independent,rolling,zypper,KDE Plasma,systemd,https://en.opensuse.org/Portal:Slowroll,curated; subjective columns intentionally blank,2026-09-16
openSUSE MicroOS,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,,0,0,1,1,0,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,independent,rolling,transactional-update,none,systemd,https://microos.opensuse.org/,curated; subjective columns intentionally blank,2026-09-16
Aeon,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,,0,0,0,1,0,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,independent,rolling,transactional-update,GNOME,systemd,https://aeondesktop.github.io/,curated; subjective columns intentionally blank,2026-09-16
Kalpa,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,,0,0,0,1,0,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,independent,rolling,transactional-update,KDE Plasma,systemd,https://kalpadesktop.org/,curated; subjective columns intentionally blank,2026-09-16
SUSE Linux Enterprise Server,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,,0,0,1,0,1,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,independent,fixed,zypper,none,systemd,https://www.suse.com/products/server/,curated; subjective columns intentionally blank,2026-09-16
Red Hat Enterprise Linux,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,,0,0,1,0,1,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,independent,fixed,dnf,GNOME,systemd,https://www.redhat.com/en/technologies/linux-platforms/enterprise-linux,curated; subjective columns intentionally blank,2026-09-16
Oracle Linux,0,1,0,0,1,0,1,0,0,1,1,0,0,0,0,,0,0,1,0,1,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,rhel,fixed,dnf,GNOME,systemd,https://www.oracle.com/linux/,curated; subjective columns intentionally blank,2026-09-16
Amazon Linux 2023,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,,0,0,1,0,1,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,fedora,fixed,dnf,none,systemd,https://aws.amazon.com/linux/amazon-linux-2023/,curated; subjective columns intentionally blank,2026-09-16
EuroLinux,0,1,0,0,1,0,1,0,0,1,1,0,0,0,0,,0,0,1,0,1,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,rhel,fixed,dnf,GNOME,systemd,https://en.euro-linux.com/,curated; subjective columns intentionally blank,2026-09-16
MIRACLE LINUX,0,1,0,0,1,0,1,0,0,1,1,0,0,0,0,,0,0,1,0,1,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,rhel,fixed,dnf,GNOME,systemd,https://www.miraclelinux.com/,curated; subjective columns intentionally blank,2026-09-16
Gentoo Hardened,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,1,0,0,0,0,,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,gentoo,rolling,portage,none,openrc,https://wiki.gentoo.org/wiki/Hardened_Gentoo,curated; subjective columns intentionally blank,2026-09-16
Funtoo Linux,,,0,0,0,0,0,0,0,0,0,0,0,1,0,,0,0,0,0,0,,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,gentoo,discontinued,portage,none,openrc,https://www.funtoo.org/,curated; subjective columns intentionally blank,2026-09-16
Calculate Linux,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,0,0,0,0,0,,0,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,gentoo,rolling,portage,KDE Plasma,openrc,https://www.calculate-linux.org/,curated; subjective columns intentionally blank,2026-09-16
Redcore Linux,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,0,0,0,0,0,,0,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,gentoo,rolling,portage,KDE Plasma,openrc,https://redcorelinux.org/,curated; subjective columns intentionally blank,2026-09-16
Bedrock Linux,1,0,,,,,,,,,0,0,0,1,0,,0,0,0,0,0,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,mixed,rolling,mixed,none,varies,https://bedrocklinux.org/,curated; subjective columns intentionally blank,2026-09-16
Tiny Core Linux,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,,0,0,0,0,0,,0,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,independent,fixed,tce,FLWM,custom,http://tinycorelinux.net/,curated; subjective columns intentionally blank,2026-09-16
SliTaz,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,,0,0,0,0,0,,0,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,independent,rolling,tazpkg,Openbox,sysvinit,https://slitaz.org/,curated; subjective columns intentionally blank,2026-09-16
Damn Small Linux,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,,0,0,0,0,0,,0,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,debian,fixed,apt,Fluxbox,sysvinit,https://www.damnsmalllinux.org/,curated; subjective columns intentionally blank,2026-09-16
4MLinux,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,,0,0,0,0,0,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,independent,fixed,custom,JWM,custom,https://4mlinux.com/,curated; subjective columns intentionally blank,2026-09-16
Porteus,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,,0,0,0,0,0,,0,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,slackware,fixed,pkgtools,KDE Plasma,sysvinit,https://www.porteus.org/,curated; subjective columns intentionally blank,2026-09-16
Slax,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,,0,0,0,0,0,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,debian,fixed,apt,Fluxbox,systemd,https://www.slax.org/,curated; subjective columns intentionally blank,2026-09-16
Knoppix,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,,0,0,0,0,0,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,debian,fixed,apt,LXDE,systemd,https://www.knopper.net/knoppix/,curated; subjective columns intentionally blank,2026-09-16
SystemRescue,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,,1,0,0,0,0,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,0,0,,0,0,0,0,0,0,0,arch,rolling,pacman,Xfce,systemd,https://www.system-rescue.org/,curated; subjective columns intentionally blank,2026-09-16
Clonezilla Live,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,,0,0,0,0,0,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,debian,fixed,apt,none,systemd,https://clonezilla.org/clonezilla-live.php,curated; subjective columns intentionally blank,2026-09-16
GParted Live,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,,0,0,0,0,0,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,debian,fixed,apt,Xfce,systemd,https://gparted.org/livecd.php,curated; subjective columns intentionally blank,2026-09-16
Kubuntu Focus,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,,0,0,0,0,1,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,ubuntu,fixed,apt,KDE Plasma,systemd,https://kfocus.org/,curated; subjective columns intentionally blank,2026-09-16
TUXEDO OS,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,,0,0,0,0,1,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,ubuntu,fixed,apt,KDE Plasma,systemd,https://www.tuxedocomputers.com/en/TUXEDO-OS.tuxedo,curated; subjective columns intentionally blank,2026-09-16
Regata OS,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,,0,1,0,0,0,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,opensuse,rolling,zypper,KDE Plasma,systemd,https://www.regataos.com.br/,curated; subjective columns intentionally blank,2026-09-16
BigLinux,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,,0,0,0,0,0,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,manjaro,rolling,pacman,KDE Plasma,systemd,https://www.biglinux.com.br/,curated; subjective columns intentionally blank,2026-09-16
KaOS,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,,0,0,0,0,0,,0,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,independent,rolling,pacman,KDE Plasma,systemd,https://kaosx.us/,curated; subjective columns intentionally blank,2026-09-16
blendOS,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0,,0,0,0,1,0,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,arch,rolling,pacman,GNOME,systemd,https://blendos.co/,curated; subjective columns intentionally blank,2026-09-16
Crystal Linux,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0,,0,0,0,0,0,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,arch,rolling,pacman,GNOME,systemd,https://getcryst.al/,curated; subjective columns intentionally blank,2026-09-16
Archcraft,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,,0,0,0,0,0,,0,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,arch,rolling,pacman,Openbox,systemd,https://archcraft.io/,curated; subjective columns intentionally blank,2026-09-16
ArchBang,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,,0,0,0,0,0,,0,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,arch,rolling,pacman,i3,systemd,https://archbang.org/,curated; subjective columns intentionally blank,2026-09-16
BlackArch,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,,1,0,0,0,0,,1,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,arch,rolling,pacman,none,systemd,https://blackarch.org/,curated; subjective columns intentionally blank,2026-09-16
Pentoo,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,1,0,0,0,0,,0,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,0,0,,0,0,0,0,0,0,0,gentoo,rolling,portage,Xfce,openrc,https://www.pentoo.ch/,curated; subjective columns intentionally blank,2026-09-16
Kodachi,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,,1,0,0,0,0,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,1,0,0,0,,0,0,0,0,0,0,0,ubuntu,fixed,apt,Xfce,systemd,https://www.digi77.com/linux-kodachi/,curated; subjective columns intentionally blank,2026-09-16
Whonix,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,,1,0,0,0,0,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,debian,fixed,apt,Xfce,systemd,https://www.whonix.org/,curated; subjective columns intentionally blank,2026-09-16
Kicksecure,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,,1,0,0,0,0,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,debian,fixed,apt,Xfce,systemd,https://www.kicksecure.com/,curated; subjective columns intentionally blank,2026-09-16
PureOS,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,,1,0,0,0,1,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,debian,fixed,apt,GNOME,systemd,https://pureos.net/,curated; subjective columns intentionally blank,2026-09-16
Trisquel,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,,0,0,0,0,0,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,ubuntu,fixed,apt,MATE,systemd,https://trisquel.info/,curated; subjective columns intentionally blank,2026-09-16
GNU Guix System,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,,0,0,0,0,0,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,0,0,0,0,,0,0,0,0,0,0,0,independent,rolling,guix,none,shepherd,https://guix.gnu.org/,curated; subjective columns intentionally blank,2026-09-16
Hyperbola GNU/Linux-libre,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,,0,0,0,0,0,,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,arch,fixed,pacman,none,openrc,https://www.hyperbola.info/,curated; subjective columns intentionally blank,2026-09-16
Parabola GNU/Linux-libre,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,,0,0,0,0,0,,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,arch,rolling,pacman,none,openrc,https://www.parabola.nu/,curated; subjective columns intentionally blank,2026-09-16
NixOS unstable,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,,0,0,0,0,0,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,0,0,0,0,,0,0,0,0,0,0,0,nixos,rolling,nix,none,systemd,https://nixos.org/,curated; subjective columns intentionally blank,2026-09-16
Mabox Linux,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,,0,0,0,0,0,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,manjaro,rolling,pacman,Openbox,systemd,https://maboxlinux.org/,curated; subjective columns intentionally blank,2026-09-16
RebornOS,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,,0,0,0,0,0,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,arch,rolling,pacman,KDE Plasma,systemd,https://rebornos.org/,curated; subjective columns intentionally blank,2026-09-16
